"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"Trump Lobs 'Rape' Allegation at Bill Clinton in FOX Interview: Donald Trump rehashed a controversia... https://t.co/aSTcZq0AgV #politics"	733172568090271744	"us_news_update"	"2016-05-19 05:48:56"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"	NA	NA
"Its sad how Donald Trump actually getting people to vote for him"	733167506001526784	"kenshijoey"	"2016-05-19 05:28:49"	NA	NA	FALSE	1	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Instagram photo by Donald Trump Meme Factory • May 6, 2016 at 1:05pm UTC https://t.co/8Mh4DWrHBE"	733174994558050304	"TryNaturopathy"	"2016-05-19 05:58:35"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	NA	NA
"#WarmongerBuffoon Donald Trump as US president? It’s going to be so much ""fun"" https://t.co/vFevfbFNBH via @SCMP_News"	733158703969402880	"mirtlove"	"2016-05-19 04:53:51"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>"	NA	NA
"RT @SexualGif: me when I think about Donald Trump's honkey ass but then realize I'll live long enough to see him die https://t.co/tTtNv9MFeg"	733176033055264768	"NatalyRojasD"	"2016-05-19 06:02:42"	NA	NA	FALSE	0	FALSE	1077	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Looks like Donald Trump could use a bit more PR work here along the border. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @ El Hueso de… https://t.co/8UIMVxDB4S"	733183252937224192	"smiffmo"	"2016-05-19 06:31:24"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"	-97.50039857	25.90338536
"Donald Trump Quotes https://t.co/MXHdp2VK4G via @BrainyQuote NOT QUITE THE MEMORABLE PATRIOTIC MEMES PORTRAYING THE FOUNDERS."	733188005272391680	"crazyeyes10950"	"2016-05-19 06:50:17"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @politico: Trump's list snubs top legal conservatives https://t.co/sdEYAzs0pj | Getty https://t.co/sESo6N4hSy"	733137153438273536	"DarlingReina"	"2016-05-19 03:28:13"	NA	NA	FALSE	0	FALSE	19	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @thinkprogress: Trump’s bizarre climate beliefs would jeopardize meaningful global climate action https://t.co/BQ7erkm1EE https://t.co/o…"	733161108081545216	"Petri_Dish_Life"	"2016-05-19 05:03:24"	NA	NA	FALSE	0	FALSE	51	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"J.K. Rowling Defends Donald Trump's Ability to Travel to the U.K. - https://t.co/uyPobLBCq7"	733124166887591936	"justsickoflies"	"2016-05-19 02:36:36"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
