"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"RT @PartidoPACMA: Gracias a las que antes que nosotras lucharon por nuestros derechos. Seguimos vuestro ejemplo #FelizDiaDeLaMujer https://…"	"707163033496326144"	"karen_aa13"	2016-03-08 11:16:20	NA	NA	FALSE	0	FALSE	69	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Catalina de Médici, protectora familiar @nuevatribuna https://t.co/t06DXB25Eb #FelizDiaDeLaMujer #MujeresDePelicula https://t.co/4pd0CaouZh"	"707163031059480576"	"nuevatribuna"	2016-03-08 11:16:19	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"A todas esas hermosuras que nos brindan tanta inspiracion, amor y comprensión! Les deseo un FELIZ DÍA <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #FelizDiaDeLaMujer"	"707163030971408385"	"RoroLeoon"	2016-03-08 11:16:19	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @asesormenceyes: Nuestras mujeres, mejor preparadas y peor pagadas.#FelizDíaDeLaMujer Reivindicativo, justo e igualitario.https://t.c…"	"707163030312906752"	"AtisTirma_"	2016-03-08 11:16:19	NA	NA	FALSE	0	FALSE	1	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @vwinstonv: #FelizDiaDeLaMujer El alma d una mujer es la obra maestra d la creación.La vida tiene sentido porque ellas existen.<U+2764> https:/…"	"707163029419458560"	"Itamarpino"	2016-03-08 11:16:19	NA	NA	FALSE	0	FALSE	53	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"¿Con una sola palabra como definirías la palabra ""MUJER""? #FelizDiaDeLaMujer https://t.co/zXArRdOb6A @RedesSocialesTV"	"707163029167677440"	"EnriqueSocha"	2016-03-08 11:16:19	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @GigameshTienda: Feliz Día Internacional de la Mujer. #felizdiadelamujer #felizdíadelamujer #tw #maryshelley https://t.co/8ppzIu8YWC htt…"	"707163028681310208"	"analia_olivera"	2016-03-08 11:16:19	NA	NA	FALSE	0	FALSE	47	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @CsMadUsera: El mércoles se aprobó por unanimidad esta Declaración Institucional de nuestros VVVV #PlenoUsera #FelizDiaDeLaMujer https:/…"	"707163028496715776"	"BoscoLabrado"	2016-03-08 11:16:19	NA	NA	FALSE	0	FALSE	14	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @SDalmaoficial: Recuerda que no hay #NadaIgualATi. Besos!!#FelizDiaDeLaMujer https://t.co/ID7yVIfojV"	"707163028010246144"	"sonia221089"	2016-03-08 11:16:18	NA	NA	FALSE	0	FALSE	79	TRUE	"<a href=""http://tweedleapp.com/"" rel=""nofollow""> Tweedle</a>"	NA	NA
"RT @carlosbaute: 1 día para celebrar la igualdad, 365 días para ponerla en prácticaTodos los dias deberian ser el 08 de Marzo #FelizDiaDeL…"	"707163027464982528"	"Londres_MFM"	2016-03-08 11:16:18	NA	NA	FALSE	0	FALSE	110	TRUE	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>"	NA	NA
"RT @ierrejon: Por un cambio que permita un país más igualitario y libre de violencia machista: #FelizDiaDeLaMujer https://t.co/vcSHdfYFix"	"707163025984327680"	"h_hromano"	2016-03-08 11:16:18	NA	NA	FALSE	0	FALSE	67	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @LaLiga: <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> | @CDLeganes, @UELlagostera y @AtletiFeminas tienen algo en común... https://t.co/2cVIhtGpBi #FelizDiaDeLaMujer https://t.co/…"	"707163025892098048"	"CDLeganes"	2016-03-08 11:16:18	NA	NA	FALSE	0	FALSE	19	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @fcienciasugr: Mesa ""Mujeres y la investigación en el área de ciencias experimentales"" hoy a las 18h https://t.co/P4C4MTqN40 #FelizDiaDe…"	"707163023891427331"	"FJESUR"	2016-03-08 11:16:18	NA	NA	FALSE	0	FALSE	1	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @sanchezcastejon: Porque no hay ni democracia ni futuro sin las mujeres #FelizDíaDeLaMujer #8deMarzo https://t.co/PngwJqUVqn https://t.c…"	"707163023123857408"	"AnaLB25"	2016-03-08 11:16:17	NA	NA	FALSE	0	FALSE	270	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
