"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"O inigualável X-Soares <U+2764>#MasterChef https://t.co/2n3bJN695s"	"735237020990214144"	"joaozinho_95"	2016-05-24 22:32:20	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"hj eu consigo ver #masterchef inteiro plmd eu nunca consigo"	"735236742261936128"	"aleafarafa"	2016-05-24 22:31:14	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @TeleTuitero: #Audiencias 
#MasterChef lidera la noche del miércoles con un 17,8% y 2.879.000 espectadores en La 1 @SamySpain @AbelArana…"	"735235657598132224"	"joaquinagil28"	2016-05-24 22:26:55	NA	NA	FALSE	0	FALSE	13	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @MasterChef_es: Aprende a cocinar con las clases de cocina de #MasterChef. Puedes ver las en RTVE.es <U+27A1> https://t.co/kiNovB2ApM https://t…"	"735235238796922880"	"PerFaraldo"	2016-05-24 22:25:15	NA	NA	FALSE	0	FALSE	11	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Lo peor de hoy es que creía que había #MasterChef y hoy era martes."	"735235054725648384"	"EmmaFut"	2016-05-24 22:24:31	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Dia de ajudar na cozinha.... @jessimachado #cozinha #masterchef #bolo #bolodecenoura #cozinhando… https://t.co/HcpfuFBrhs"	"735233658630459392"	"joelsonemanuel"	2016-05-24 22:18:58	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"	NA	NA
"@roddy_nicoll you're my #masterchef.get applying! https://t.co/qUtZ1hBmQy"	"735233385271074816"	"destressme"	2016-05-24 22:17:53	"roddy_nicoll"	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	NA	NA
"RT @MasterChef_es: Mañana en #MasterChef los aspirantes se reencuentran con sus parejas, ¿quieres ver el comienzo en exclusiva? Haz RT http…"	"735230745556451330"	"iriavazvaz"	2016-05-24 22:07:24	NA	NA	FALSE	0	FALSE	167	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @FutbolEscalada: El 25 de Mayo festejamos el aniversario del #ClubSporting. Locro patrio cocinado por Francisco de #MasterChef https://t…"	"735230284736528384"	"pablodeltaladro"	2016-05-24 22:05:34	NA	NA	FALSE	0	FALSE	1	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @MasterChef_es: Mañana en #MasterChef los aspirantes se reencuentran con sus parejas, ¿quieres ver el comienzo en exclusiva? Haz RT http…"	"735229972722388993"	"afrika15"	2016-05-24 22:04:20	NA	NA	FALSE	0	FALSE	167	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"@LanaKlingor je novi hrvatski celebrity #Masterchef. @MasterChefHrv  <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>"	"735229344709246976"	"JuricNovaTV"	2016-05-24 22:01:50	"LanaKlingor"	NA	FALSE	1	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Adelanto mi tweet de mañana: #lqsa a la vez que #masterchef <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/3dftufwCvk"	"735229313956622337"	"soraya6_8"	2016-05-24 22:01:43	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Lana Klingor je drugi celebrity #masterchef"	"735229204934066178"	"KValentic"	2016-05-24 22:01:17	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @MasterChef_es: Mañana en #MasterChef los aspirantes se reencuentran con sus parejas, ¿quieres ver el comienzo en exclusiva? Haz RT http…"	"735229170695999488"	"NataliaMChef4"	2016-05-24 22:01:08	NA	NA	FALSE	0	FALSE	167	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Aquí hay Pataticas #AchoQueBueno para todo #MasterChef <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> @saramchef3 @MireiaMChef3 ¡Vivan los #Chefs! #abracho <ed><U+00A0><U+00BD><ed><U+00B2><U+0091> https://t.co/8eGkaBF2mG"	"735228511972151298"	"AchoQueBueno"	2016-05-24 21:58:31	"saramchef3"	"735217668995829762"	FALSE	3	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"@RaquelMChef4 Eso porsupuesto Raquel #Jerezanas #gemelasteam y tendremos a los niños como jurado nuevo #MasterChef https://t.co/v5M3VPqrga"	"735228076553015296"	"IvanGarciaCale1"	2016-05-24 21:56:47	"RaquelMChef4"	"735227150966624256"	FALSE	1	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Lanu Klingor bole noge i srusit ce se. Pa ne kuvas nogama majkuti ljubim. #masterchef"	"735227890053353472"	"ani_relja"	2016-05-24 21:56:03	NA	NA	FALSE	1	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @RaquelMChef4: Mañana vuelve a crecer la familia #MasterChef con repesca y reencuentro emotivo!!! No crees que será un gran programa? #s…"	"735227611278905344"	"IvanGarciaCale1"	2016-05-24 21:54:57	NA	NA	FALSE	0	FALSE	1	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
