"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"RT @RMGCharlie: I figured this was appropriate today. https://t.co/IExWtQ2rmz #Hodor #HoldTheDoor #GameOfThrones #GOT #Panda
https://t.co/M…"	"735235928680235010"	"abouzamazem"	2016-05-24 22:28:00	NA	NA	FALSE	0	FALSE	481	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"A true gentleman...#got #gameofthrones #holdthedoor https://t.co/HzYkHfFiAO"	"735235920958459904"	"hollywoodrum"	2016-05-24 22:27:58	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Hodor <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #GOT"	"735235915560439810"	"laurakayeauthor"	2016-05-24 22:27:56	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @albertond86: En estos momentos hay en España más incertidumbre por el doblaje de #GOT con lo de #HODOR que por la formación de Gobierno."	"735235912221794305"	"laurentsegura"	2016-05-24 22:27:56	NA	NA	FALSE	0	FALSE	45	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"5 stars Battle Scenes, Brawls, Mysteries, and Adventures #BookReview July 22, 2012 https://t.co/dZWBOJulyl #Kindle   #Fantasy #GoT #RT"	"735235897063440385"	"MrStubbsSays"	2016-05-24 22:27:52	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @GodlessUtopia: ""It's hard for a fanatic to admit a mistake..  Everything is the 'Lord's will'."" - Lord Varys

#GameofThrones #GoT https…"	"735235867929894913"	"Da_Broken_Seal"	2016-05-24 22:27:45	NA	NA	FALSE	0	FALSE	90	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"JonSnowyy: Haha... Will not make sense unless you're caught up. #gameofthrones #got #... https://t.co/apkHnrZd7F https://t.co/CVInFzQxHG"	"735235823424012289"	"ThroneNews99"	2016-05-24 22:27:34	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>"	NA	NA
"RT @CrawlingEagle13: I just want someone to look at me the way Tormund looks at Brienne. #GOT #HoldTheDoor https://t.co/dUL8vLu7Rf"	"735235816306286593"	"micahsgrrl"	2016-05-24 22:27:33	NA	NA	FALSE	0	FALSE	1742	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Promised myself I wouldn't watch #GoT until after my exams, broke it half way through"	"735235778243072000"	"NthabyMasinge"	2016-05-24 22:27:24	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"	NA	NA
"RT @ProVene: ¿Cómo se activa la #CartaDemocrática de @OEA_oficial y qué puede lograr? Te lo explicamos con 2 personajes de #GOT https://t.c…"	"735235774963167233"	"yraidacrespo"	2016-05-24 22:27:23	NA	NA	FALSE	0	FALSE	3	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
